,Brand,no_of_rear_camera,rear_camera_1_pixels,rear_camera_2_pixels,rear_camera_3_pixels,rear_camera_4_pixels,rear_camera_5_pixels,no_of_front_camera,front_camera_1_pixels,front_camera_2_pixels,Release_year,Screen-size,operationg_system,Internal_storage(GB),WiFi,Bluetooth,Battery(mah),RAM,Touchscreen,Form-factor,Processor,GPS,Resolution,Accelerometer,Proximity_sensor,Ambient_light_sensor,Expandable_storage,Rear_flash,Proceesor_make,Height,Breadth,Width,Price_in_India,Weight,Compass/magnetometer,Headphones,Gyroscope,Expandable_storage_type,4G_or_3G,Simtype,GSM/CDMA,Expandable_storage(GB)
16,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,9490.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
17,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,8999.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
18,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,8990.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
19,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,8200.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
20,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,8990.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
21,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,8499.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
22,Xiaomi,2,12.0,5.0,,,,1,20.0,,2018.0,5.99,Android,64.0,Yes,Yes,4000.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,158.6,75.4,8.05,6899.0,181.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
23,Xiaomi,2,12.0,5.0,,,,1,20.0,,2018.0,5.99,Android,64.0,Yes,Yes,4000.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,158.6,75.4,8.05,11499.0,181.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
24,Xiaomi,2,12.0,5.0,,,,1,20.0,,2018.0,5.99,Android,64.0,Yes,Yes,4000.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,158.6,75.4,8.05,11499.0,181.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,128.0
25,Xiaomi,2,12.0,5.0,,,,1,5.0,,2018.0,5.84,Android,32.0,Yes,Yes,4000.0,3072.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,LED,Qualcomm Snapdragon,149.33,71.68,8.75,10590.0,178.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
